Strategy,Strategy,Strategy,Strategy,Summary,Summary,Risk Measures,Risk Measures,Risk Measures,Risk Measures
Momentum,Portfolio,Criterion,Strategy,Mean,STD,Fin Wealth,Sharpe Ratio,Var 95%,Max DD
Momentum 1,W,1-1,Strategy,1.6300412948967835,8.120153000319373,2.8512492365909847,0.20074021940629352,10.758212091900074,-3.415469839683175
Momentum 1,L,1-1,Strategy,-0.7675701075024287,14.937595616986172,0.47174068436438293,-0.05138511760417401,18.340797758770286,-3.908620961514962
Momentum 1,W-L,1-1,Strategy,2.397611402399212,11.084938774466886,2.3795085522266017,0.2162945101620123,15.006373333876082,-2.721103136390213
Momentum 2,W,1-1,Strategy,1.3720423098575505,9.187707822305086,2.4065835264827156,0.14933456052298816,13.808501346881734,-3.4832800835233044
Momentum 2,L,1-1,Strategy,-1.2631759328730123,14.791708174741078,0.3573995285594977,-0.08539756990541923,23.05758809936043,-3.3716924336147867
Momentum 2,W-L,1-1,Strategy,2.635218242730563,11.182208101380942,2.049183997923218,0.23566170642139345,15.228911804188154,-2.0656012849094316
Momentum 3,W,3-1,Strategy,0.6542497936677336,6.644174805956009,1.3092870814232742,0.09846968401271551,8.060134354804383,-4.857933276172896
Momentum 3,L,3-1,Strategy,-0.6169398614404003,8.667792209917124,0.7207307738942217,-0.07117612495769543,10.15649888384196,-5.279150631275765
Momentum 3,W-L,3-1,Strategy,1.2711896551081339,6.809086870148388,0.5885563075290525,0.18669018024738923,11.261688348560453,-1.9641707921630502
Traditional Momentum,W,1-1,Strategy,1.3720423098575496,9.187707822305082,2.4065835264827165,0.1493345605229881,13.808501346881727,-3.483280083523304
Traditional Momentum,L,1-1,Strategy,-1.2631759328730128,14.791708174741078,0.3573995285594978,-0.08539756990541926,23.05758809936043,-3.371692433614787
Traditional Momentum,W-L,1-1,Strategy,2.6352182427305624,11.182208101380942,2.0491839979232185,0.2356617064213934,15.22891180418814,-2.065601284909432
