Company,Outstanding Shares
GAMMONIND,368847305.00
GSKCONS,42055538.00
GTOFFSHORE,78872374.00
HEXAWARE,300330455.00
INFINITE,34317477.00
INNOIND,59547620.00
LAKSHVILAS,336855414.00
OCL,56900220.00
ORBITCORP,113961890.00
POLARIS,103098599.00
REIAGROLTD,957984954.00
SCI,465799010.00
SHILPI,110632272.00
SHRENUJ,192907258.00
SRIPIPES,46698407.00
TATASTLBSL,1093439768.00
TULIP,145000000.00
UBHOLDINGS,66818182.00
CAPF,99072594.00
CASTROL,494561192.00
CHALET,205023864.00
COREEDUTEC,114565558.00
DALMIABHA,89153303.00
ELDERPHARM,20536936.00
ERAINFRA,331599440.00
ESSDEE,32047811.00
